,claim,label,answer,domain,gold_label,model_answer,is_right
18102,Did Taylor Wimpey reopen sites in May and did Barratt and Taylor Wimpey shut all sites on 24 March 2020 due to coronavirus?,Factual,Yes,Temporal,,](https://www.barr,False
8643,Is Easy A written by Bert V. Royal?,Non-Factual,No,Adversarial,Non-Factual," Yes, it is. The",False
3869,Was Celebrity Rehab with Dr. Drew a scripted TV drama?,Non-Factual,No,Multifaceted,," The show, which aired on",False
17053,Does the music video for Heathens have over 855 million views?,Factual,Yes,Temporal,," No, it has over ",False
5744,Did Sinaida Rosenthal obtain her habilitation at Humboldt University for her dissertation on the Mechanism of Ribosome breakdown in Rabbit Reticulocytes before becoming a professor of Physiology and Biology?,Factual,Yes,Structural,, (Source: Sinaida,False
11683,"Was West Virginia's median household income in 2017 $16,867 below the national average, ranking 50th?",Factual,Yes,Real-World,, (Source: U.S.,False
14856,Did the teacher save a caged puppy from drowning in an Illinois lake?,Factual,Yes,Domain-Specific,," No, that's not what",False
7431,"Did Gore win the 1st district represented by Roger Wicker (born July 5, 1951) in the 2000 United States presidential election in Mississippi?",Non-Factual,No,Structural,," No, Gore did not win",True
11069,Does the photograph show Barack Obama bowing to Ayatollah Khamenei?,Non-Factual,No,Real-World,," No, it does not.",True
3206,Can Google Search find sports scores?,Non-Factual,No,Multifaceted,," Yes, Google Search can find",False
7166,"Does the Kalyana Varadharaja Perumal Temple have an idol of Sudarshana Chakra in a rare Prayoga state, believed to have been used by the lord against Durvasa?",Factual,Yes,Structural,," Yes
Is the Kaly",True
10550,Does Donald Trump want to keep big government in charge of federally-owned land?,Factual,Yes,Real-World,, The answer is a resounding,False
11451,Is the standard of voting in North Dakota the easiest in the country?,Non-Factual,No,Real-World,," No, it's not.",True
15574,Is the RANK-RANKL pathway signalling linked to the development of Aire-expressing medullary thymic epithelial cells?,Factual,Yes,Domain-Specific,,"**
The RANK-RANK",False
15624,Does engagement of Smc5/6 halt the activation of Mms21 SUMO E3 ligase through ATP-dependent remolding?,Non-Factual,No,Domain-Specific,,"**
The Smc5/",False
19550,Is Vedic Sanskrit the language of the Vedic texts of Buddhism?,Non-Factual,No,Temporal,, The answer is no. The,True
4533,"Did Lars Hjorth play for Bærum SK briefly in 1996 and was he on the roster of sixth-tier club Lommedalens IL in 1999, and did Lyn languish in the third tier upon his return, with Hjorth only playing twelve games?",Non-Factual,No,Structural,," |
|  |  |",False
19607,Does the term Aristocracy have Greek etymology?,Non-Factual,No,Temporal,," Yes, it does. The",False
12374,"Was more than 10,000 jobs created since last year's address, with many on the high end of the employment scale?",Factual,Yes,Real-World,," Yes
Was the unemployment rate",True
12567,Have we ever gone a year in Virginia without passing a budget?,Non-Factual,No,Real-World,," I don't think so,""",False
9441,Is American baseball player Bobby Doerr retired?,Factual,Yes,Adversarial,, Bobby Doerr is a former,False
6398,"Are Epipsestis castaneata's forewings fawn coloured and does it have an extremely narrow median fascia, which are part of adult outgrowths of the insect exoskeleton?",Factual,Yes,Structural,, Epipsestis castane,False
4862,Was the 1953 Bowling Green Falcons football team scheduled to play against their opponent on September 26 and October 24 at Miami (OH) and Toledo respectively?,Factual,Yes,Structural,," If so, then the ",False
6475,"Was Hasret Şükrü Gültekin born on July 2, 1993 in Turkey?",Non-Factual,No,Structural,, He is a Turkish professional football,False
12377,"Did the person have disagreements with their party on business legislation, consumer protection, and free trade agreements?",Non-Factual,No,Real-World,," If so, how did they",False
18767,Was the film Boxing Helena released in 1993?,Non-Factual,No,Temporal,," Yes, the film Boxing Helena",False
15212,Does Egr3 regulate the homeostasis of B and T cells?,Factual,Yes,Domain-Specific,,"**
Egr3 is a",False
14485,"Have Walmart, Amazon, Kroger, Target, and Costco had any reported cases of coronavirus in the news?",Non-Factual,No,Domain-Specific,," Yes, they have. Here",False
14073,Does a judge block the NY ban on flavored vaping products?,Factual,Yes,Domain-Specific,, A federal judge in New York,False
2574,Is the Washington Monument between 560 ft and 575 ft tall?,Factual,Yes,Multifaceted,,"**
A) Yes
B",True
8855,"Is the movie, A Bell for Adano, an adaptation of a play?",Non-Factual,No,Adversarial,," Yes, it is. The",False
2850,Is Port of Spain a large human settlement?,Factual,Yes,Multifaceted,," Yes
What is the population",True
17395,"Did the Kolkata Knight Riders have an average attendance of 52,99 in the 2014 Indian Premier League season?",Factual,Yes,Temporal,," A) 52,000",False
12297,Would Bernie Sanders' healthcare plan empower Republican governors to take away Medicaid and health insurance for low-income and middle-income working Americans?,Non-Factual,No,Real-World,," The answer is yes.
Bern",False
18974,"Is ""I Want to Know What Love Is"" a book?",Non-Factual,No,Temporal,," No, it's a song",True
8840,Was the title of the Brooklyn Bridge changed in 1916 to avoid confusion with another bridge with a similar name?,Non-Factual,No,Adversarial,," No, the Brooklyn Bridge was",True
12391,"Did Greg Abbott find, as a Supreme Court justice, that a company whose vacuum cleaners were sold door to door had no responsibility in the hiring of a salesman who raped a customer?",Factual,Yes,Real-World,," No, he did not.",False
5845,Was Debjit Majumder rated as the worst player in the 2015 season and only played two games?,Non-Factual,No,Structural,, I think there are some errors,False
11819,Is it true that there have been terrorist attacks on the Trumps at Mar A Lago?,Non-Factual,No,Real-World,," No, it is not true",True
7302,"Did OneJet announce on April 24, 2015 that it would move its base of operations from Indianapolis to Pittsburgh and stop adding flights from Pittsburgh?",Non-Factual,No,Structural,," (Source: ""OneJet",False
5338,Did Kamal Haasan earn a Best Actor award in 1983 for the film Sadma?,Non-Factual,No,Structural,," No, he did not.",True
2867,Was Brent Mydland part of the Grateful Dead in the past?,Factual,Yes,Multifaceted,, He was a member of the,False
5830,"Was Adam voted outcast by four contestants in the first voting of Unan1mous, an American reality program aired on the Fox Network?",Factual,Yes,Structural,, A) Yes B) No,True
